code,mkt,name,sectors,biz,latest_report,latest_notice,q1_revenue_yi,q1_np_yi,q1_rev_yoy_pct,q1_np_yoy_pct,ann_report,ann_revenue_yi,ann_np_yi,ann_rev_yoy_pct,ann_np_yoy_pct,roe_pct,gross_margin_pct,debt_asset_pct,ocf_np_ratio,ocf_rev_ratio,roic_pct,eps,price,pct_day,turnover_rate,pe_ttm,mkt_cap_yi,float_mkt_cap_yi,time,shares_total,last_date,r30_pct,r90_pct,avg30_amount_yi_est,quality_score
300670,SZ,大烨智能,配电,配电自动化终端、智能配电设备,2026一季报,2026-04-27 00:00:00,0.5497840619,-0.09695689980000001,-22.271107585162,45.930159025613,2025年报,2.3823869902,-2.0828957283,-29.389539521912,-2724.71715325736,-38.79,-8.5000306723,73.5989878649,,0.281845926989,-11.945267988206,-0.6572,6.27,-3.98,4.29,-9.93,19.87,14.09,20260708161427,316920479.0,2026-07-08,-4.4207317073170715,-13.517241379310352,0.9609709393333333,-3.7
688517,SH,金冠电气,高压开关;配电,避雷器、智能配电网设备,2026一季报,2026-04-24 00:00:00,1.2523125398000001,0.1428667219,-10.216616325187,-25.173858054597,2025年报,7.3048414474,0.8084500878,11.038307058598,-11.276641649639,9.9,28.3946459336,39.4193457125,1.769885730848,0.195878895497,9.34706498597,0.59,16.76,-1.59,1.62,30.11,22.9,22.9,20260708161437,136613184.0,2026-07-08,-24.903665202975176,-6.41054277417914,72.60077952753333,3.0
603829,SH,洛凯股份,高压开关,断路器关键部附件、开关设备配套,2026一季报,2026-04-30 00:00:00,4.4754198748,0.032354379700000005,-4.397497647541,-88.416885532925,2025年报,22.1337826547,0.7970647056,3.846068345666,-36.827928363554,5.42,16.3329987486,47.7384903883,1.940521637597,0.064968326329,4.104897809653,0.49,15.09,-2.33,1.37,51.1,28.11,28.11,20260708161447,186266159.0,2026-07-08,-40.8235294117647,-42.338555598012995,0.8748010603333333,2.0
002358,SZ,森源电气,高压开关;配电,高低压开关成套、电能质量治理,2026一季报,2026-04-29 00:00:00,7.12930114,0.5320209267,1.196321923128,26.267114392686,2025年报,29.148315932,0.8743300406,5.329394241893,-1.428818804729,2.68,28.807979274,51.8640029117,0.069073899102,0.002223086718,3.883316930598,0.09,5.27,-1.86,1.23,49.74,49.0,49.0,20260708161448,929756977.0,2026-07-08,-19.786910197869112,-41.3140311804009,1.1532486576666665,0.6
002927,SZ,泰永长征,配电;高压开关,低压电器、配电电器、双电源/断路器,2026一季报,2026-04-29 00:00:00,1.9319265803,0.1071316757,-0.413445909636,-20.977550738654,2025年报,8.4540443243,-0.0538181282,-5.223598027727,-114.402030033899,-0.54,27.9836797567,34.4117028201,,0.003651171063,-0.510220279416,-0.02,16.62,-3.82,3.36,-450.96,37.09,36.68,20260708161500,223192180.0,2026-07-08,-22.517482517482513,-16.858429214607295,3.9658459703333335,-2.6
002706,SZ,良信股份,配电,低压电器、配电控制,2026一季报,2026-04-25 00:00:00,11.3711380867,0.5649934321,4.459893543722,-45.222883985919,2025年报,44.8452222866,2.6521326826,5.820288366393,-15.02656969685,6.29,29.2227617947,27.6977887796,0.843671475942,0.050291305314,6.338736115483,0.25,9.74,-2.89,2.49,50.05,109.39,89.06,20260708161500,1123125020.0,2026-07-08,-27.69116555308092,-15.038381018841596,6.088716355333333,2.3
301359,SZ,东南电子,配电,微动开关等电气部件，配电相关度弱,2026一季报,2026-04-24 00:00:00,0.7042948694,0.0515740796,0.731370758513,-53.428653092455,2025年报,3.4293062387999997,0.4044280697,7.95286690607,-11.791740298094,4.75,27.806130599,8.9940080765,1.119771313193,0.132057891353,4.334436112272,0.34,15.34,-2.85,2.74,53.39,18.43,10.91,20260708161427,120176000.0,2026-07-08,-31.852509995557533,-29.503676470588236,0.367719981,1.2
300491,SZ,通合科技,柔直;配电,电力操作电源、充换电与电源模块，柔直相关度弱,2026一季报,2026-04-24 00:00:00,2.9053583425,-0.0030916738,40.185208458984,95.259081281691,2025年报,15.5715505775,0.4015327305,28.782428138894,67.719869036154,3.42,24.3914092305,52.5450614452,1.834398442645,0.04730235514,3.240396964239,0.23,29.56,-7.42,5.36,113.27,52.52,46.59,20260708161457,177666749.0,2026-07-08,5.5714285714285605,4.971590909090895,4.721084795666667,1.8
300360,SZ,炬华科技,配电,智能电表与用电信息采集,2026一季报,2026-04-28 00:00:00,2.9620837673000002,0.9527368422,-31.587484433578,-45.510940051278,2025年报,16.8699589859,5.6679597225,-16.848276761196,-14.723978870218,13.62,43.1004704408,15.2981771847,0.876199004564,0.300589767215,12.249928698032,1.1,11.47,-0.78,0.84,12.1,58.98,57.38,20260708161454,514187126.0,2026-07-08,-19.79020979020979,-34.903518728717366,0.685626607,4.6
688248,SH,南网科技,柔直;配电,南网系储能/试验检测/智能配用电，柔直相关度中,2026一季报,2026-04-30 00:00:00,4.4520060146,0.493165956,-12.660103762347,-13.378635359446,2025年报,36.8474295803,4.2083941188,22.272916893037,15.283804813493,13.31,29.7888100878,35.5291461427,1.131931615587,0.131557698657,13.097367763137,0.75,59.5,-3.82,0.55,81.31,336.0,336.0,20260708161459,564700000.0,2026-07-08,1.4319809069212486,13.419748379717888,343.91724250566665,2.6
