selection_rank,global_rank,code,name,exchange,industry,result,secondary_scope,decision,decision_reason,price,pe_ttm,pb,market_cap_yi,change_pct,turnover_pct,roe_avg_10,gross_margin_avg_5,ocf_ni_avg_5,net_margin_avg_10,fcf_5_total_yi,fcf_to_market_cap_5y,share_inflation_5,quality_score,valuation_score,composite_score,price_cross_check,quote_timestamp,moat_rating,moat_basis
,328,002057,中钢天源,SZ,专业服务,通过,保留,淘汰,综合得分未进入前30,8.25,19.38,1.88,62.19540575,0.61,2.18,9.395,23.848683,1.243997,9.360182,5.9369603317,0.09545657,0.0,40,22,62,一致,20260804135709,待评,未进入30家初评队列
,131,002064,华峰化学,SZ,化学纤维,通过,保留,淘汰,综合得分未进入前30,10.85,13.58,1.87,538.43601282,-0.82,0.84,17.828,19.80135,1.209761,10.455686,84.9024365738,0.15768343,0.0,47,25,72,一致,20260804135709,待评,未进入30家初评队列
,279,002083,孚日股份,SZ,纺织制造,通过,保留,淘汰,综合得分未进入前30,11.28,14.8,2.32,106.78088055,2.45,7.03,9.175,16.990605,2.339644,6.67218,10.037510004400001,0.094001,0.0,40,25,65,一致,20260804135709,待评,未进入30家初评队列
,,002088,鲁阳节能,SZ,装修建材,通过,周期边界复核排除,淘汰,周期边界复核：行业名称命中油气、燃气、建材、农化等周期关键词,7.67,335.07,1.64,39.07406227,1.19,0.45,14.395,30.437462,2.070133,13.310904,18.5697352462,0.47524455,0.0,51,10,61,一致,20260804135703,待评,未进入30家初评队列
,319,002107,沃华医药,SZ,中药Ⅱ,通过,保留,淘汰,综合得分未进入前30,6.18,26.4,5.04,35.67155328,1.64,1.37,12.903,75.028562,1.801164,10.218965,7.0141520822,0.19663153,0.0,50,12,62,一致,20260804135709,待评,未进入30家初评队列
,250,002117,东港股份,SZ,包装印刷,通过,保留,淘汰,综合得分未进入前30,8.2,21.64,3.24,42.94511831,0.24,0.94,12.65,35.186812,1.33919,14.653798,7.8966311722,0.18387727,0.0,47,19,66,一致,20260804135703,待评,未进入30家初评队列
,436,002125,湘潭电化,SZ,电池,通过,保留,淘汰,综合得分未进入前30,12.64,22.26,2.39,79.57169469,0.56,2.08,8.271,23.358944,0.892919,9.99387,6.3579465425,0.07990211,0.0,34,22,56,一致,20260804135709,待评,未进入30家初评队列
,418,002130,沃尔核材,SZ,其他电子Ⅱ,通过,保留,淘汰,综合得分未进入前30,17.59,26.62,2.76,246.24018698,2.69,4.02,11.434,32.006733,1.155064,8.752588,19.4609571921,0.07903242,0.0,39,18,57,一致,20260804135709,待评,未进入30家初评队列
,512,002138,顺络电子,SZ,元件,通过,保留,淘汰,综合得分未进入前30,46.58,42.0,5.72,375.58308929,7.06,5.62,12.242,35.306677,1.795615,15.926749,10.0820111767,0.02684362,0.0,42,8,50,一致,20260804135709,待评,未进入30家初评队列
,,002150,正泰电源,SZ,光伏设备,通过,保留,淘汰,当前 PE/PB 缺失、为负或超出本轮可比估值上限,21.2,127.09,3.6,76.50418624,1.63,1.11,10.373,25.927127,1.58646,7.640227,2.9409816716000003,0.0384421,0.0,42,7,49,一致,20260804135709,待评,未进入30家初评队列
,266,002152,广电运通,SZ,计算机设备,通过,保留,淘汰,综合得分未进入前30,10.36,28.42,2.11,257.27846823,0.97,0.8,8.342,34.574588,1.783274,12.405168,64.9581556907,0.2524819,0.0,47,18,65,一致,20260804135709,待评,未进入30家初评队列
,384,002158,汉钟精机,SZ,通用设备,通过,保留,淘汰,综合得分未进入前30,26.62,25.38,3.26,142.3435658,7.17,1.81,16.307,36.511974,0.952112,17.008791,20.7566369235,0.14582069,0.0,44,15,59,一致,20260804135706,待评,未进入30家初评队列
,503,002164,宁波东力,SZ,通用设备,通过,保留,淘汰,综合得分未进入前30,11.18,68.3,3.74,59.49701843,0.09,1.27,20.307,22.984409,1.490262,16.197047,1.3309502806,0.02237003,0.0,44,7,51,一致,20260804135709,待评,未进入30家初评队列
,478,002179,中航光电,SZ,军工电子Ⅱ,通过,保留,淘汰,综合得分未进入前30,34.44,45.4,3.08,723.32482469,1.09,0.93,16.514,35.449059,0.820614,13.89321,28.247838428,0.03905277,0.0,42,11,53,一致,20260804135709,待评,未进入30家初评队列
,198,002206,海 利 得,SZ,化学纤维,通过,保留,淘汰,综合得分未进入前30,5.33,12.57,1.59,61.93605083,-0.74,0.67,11.647,17.913457,1.60628,8.42942,17.465060717,0.28198538,0.0,44,25,69,一致,20260804135709,待评,未进入30家初评队列
,136,002216,三全食品,SZ,食品加工,通过,保留,淘汰,综合得分未进入前30,12.84,10.48,2.58,112.88723176,-1.53,1.03,13.7,25.868531,1.343556,6.593947,29.5905773796,0.2621251,0.0,44,28,72,一致,20260804135709,待评,未进入30家初评队列
