selection_rank,global_rank,code,name,exchange,industry,original_scope,result,secondary_scope,decision,decision_reason,price,pe_ttm,pb,market_cap_yi,change_pct,turnover_pct,roe_avg_10,gross_margin_avg_5,ocf_ni_avg_5,net_margin_avg_10,fcf_5_total_yi,fcf_to_market_cap_5y,share_inflation_5,debt_ratio,debt_limit,debt_gate,quality_score,quality_score_basis,valuation_score,composite_score,price_cross_check,quote_timestamp,moat_rating,moat_basis,moat_status
,156,000975,山金国际,SZ,贵金属,周期,通过,周期行业（本次保留）,淘汰,综合得分未进入前50,22.56,11.22,3.85,625.48218956,-1.18,1.91,11.846,28.740143,1.652341,16.861017,108.4037552831,0.1733123,0.0,18.6450865717,60,通过,48,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,25,73,一致,20260804150000,待评,未完成护城河初评,待核验
42,45,000983,山西焦煤,SZ,煤炭开采,周期,通过,周期行业（本次保留）,入选50家,综合得分靠前，且满足 PE/PB 可比、普通行业负债率门槛与行业分散上限,6.46,11.35,1.0,366.74072841,-1.37,0.91,12.815,35.300705,2.51918,7.315091,199.0022851819,0.5426239,0.0,57.1035461511,60,通过,49,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,30,79,一致,20260804150000,待评,未完成护城河初评,待核验
,797,000988,华工科技,SZ,自动化设备,保留,通过,普通行业,淘汰,综合得分未进入前50,100.65,39.63,8.85,1012.0384746,8.03,5.78,9.888,20.294763,0.73195,8.32385,13.298717101600001,0.01314053,0.0,51.4063253702,60,通过,29,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,4,33,一致,20260804150000,待评,未完成护城河初评,待核验
,280,000989,九芝堂,SZ,中药Ⅱ,保留,通过,普通行业,淘汰,综合得分未进入前50,9.24,11.99,2.19,79.08904191,0.65,4.27,8.743,59.463594,1.189296,11.556374,11.097428036199998,0.14031562,0.0,24.3263483583,60,通过,42,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,28,70,一致,20260804150000,待评,未完成护城河初评,待核验
50,53,000999,华润三九,SZ,中药Ⅱ,保留,通过,普通行业,入选50家,综合得分靠前，且满足 PE/PB 可比、普通行业负债率门槛与行业分散上限,25.75,12.82,1.87,428.53609844,-1.57,0.78,15.12,54.454191,1.306536,12.292693,142.5515442968,0.33264769,0.0,34.5764640062,60,通过,53,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,25,78,一致,20260804150000,待评,未完成护城河初评,待核验
,456,001206,依依股份,SZ,个护用品,保留,通过,普通行业,淘汰,综合得分未进入前50,16.27,27.16,1.66,30.08222256,1.12,5.0,16.5,17.408224,1.210965,8.807326,4.5346442926999995,0.15074166,0.0,15.6419885916,60,通过,45,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,18,63,一致,20260804150000,待评,未完成护城河初评,待核验
,78,001210,金房能源,SZ,电力,保留,通过,普通行业,淘汰,综合得分未进入前50,18.9,7.82,2.89,41.49263399,2.72,3.48,15.144,23.91124,5.374659,11.201346,4.0704081648,0.09809954,0.0,42.9564304318,70,通过,49,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,28,77,一致,20260804150000,待评,未完成护城河初评,待核验
,265,001216,华瓷股份,SZ,家居用品,保留,通过,普通行业,淘汰,综合得分未进入前50,13.9,23.21,1.65,40.58220898,0.29,0.72,15.793,32.286803,1.374862,12.098342,4.2946952925,0.10582705,0.0,18.3090987972,60,通过,48,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,22,70,一致,20260804150000,待评,未完成护城河初评,待核验
,413,001219,青岛食品,SZ,休闲食品,保留,通过,普通行业,淘汰,综合得分未进入前50,12.43,19.23,2.32,24.23648013,-0.96,1.13,13.535,33.990679,0.951488,15.616544,4.0775466689,0.16824005,0.0,20.0684244416,60,通过,43,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,22,65,一致,20260804150000,待评,未完成护城河初评,待核验
,392,001227,兰州银行,SZ,银行Ⅱ,金融,金融特殊口径通过,金融行业（特殊口径）,淘汰,综合得分未进入前50,2.22,5.94,0.41,126.44447713,-2.2,1.94,8.126,,7.585653,25.800997,672.1862259711,5.31605841,0.0,93.2459318456,,金融特殊口径,36.0,金融特殊口径：ROE 40分、股本稳定性20分,30,66.0,一致,20260804150000,待评,未完成护城河初评,待核验
,651,001277,速达股份,SZ,专用设备,保留,通过,普通行业,淘汰,综合得分未进入前50,27.83,36.81,1.37,21.1508,-0.71,1.92,18.641,24.942984,0.788995,12.176279,0.7078004079000001,0.03346447,0.0,23.7973316383,60,通过,39,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,16,55,一致,20260804150000,待评,未完成护城河初评,待核验
,455,001299,美能能源,SZ,燃气Ⅱ,保留,通过,普通行业,淘汰,综合得分未进入前50,9.8,27.8,2.74,30.79308833,-0.41,0.92,15.712,21.724,1.141209,18.302766,2.5694305802,0.0834418,0.0,29.5193936951,70,通过,45,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,18,63,一致,20260804150000,待评,未完成护城河初评,待核验
,250,001332,锡装股份,SZ,专用设备,保留,通过,普通行业,淘汰,综合得分未进入前50,30.78,13.04,1.83,47.6123508,-0.19,3.26,16.2,31.989348,1.04142,17.187729,6.3427003191999995,0.13321544,0.0,30.1214340885,60,通过,46,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,25,71,一致,20260804150000,待评,未完成护城河初评,待核验
,537,001358,兴欣新材,SZ,化学制品,周期,通过,周期行业（本次保留）,淘汰,综合得分未进入前50,25.36,36.31,2.19,31.24352,3.55,15.34,25.583,34.514683,0.834487,18.416691,1.8132103088,0.05803476,0.0,10.6203091869,60,通过,46,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,14,60,一致,20260804150000,待评,未完成护城河初评,待核验
,425,001376,百通能源,SZ,电力,保留,通过,普通行业,淘汰,综合得分未进入前50,11.34,30.68,4.24,52.26606,-0.87,8.33,15.031,26.466489,2.24582,13.361927,6.9228155935,0.13245337,0.0,30.6549240138,70,通过,49,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,15,64,一致,20260804150000,待评,未完成护城河初评,待核验
,165,001965,招商公路,SZ,铁路公路,周期,通过,周期行业（本次保留）,淘汰,行业分散上限：同一细分行业最多入选3家,9.78,12.32,0.98,664.56029022,-2.59,0.29,8.558,35.47485,1.026423,52.508463,220.9672260502,0.3325014,0.0,43.5832103434,70,通过,46,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,27,73,一致,20260804150000,待评,未完成护城河初评,待核验
,,001979,招商蛇口,SZ,房地产开发,周期,通过,周期行业（本次保留）,淘汰,当前 PE/PB 缺失、为负或超出本轮可比估值上限,6.82,392.97,0.63,614.89339406,-3.26,1.46,12.161,17.794501,6.012171,9.018504,894.4333964683,1.45461539,0.0,67.5154998314,60,不通过,46,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,12,58,一致,20260804150000,待评,未完成护城河初评,待核验
