board_code,board_name,pe,pb,market_cap_yi,turnover_yi,change_pct
BK1598,疫苗,-15.2,,2050.63,35.65,0.41
BK1494,焦煤,52.3,,1993.17,29.2,2.87
BK1438,合成树脂,87.25,,1987.08,92.41,-1.4
BK1304,锂电专用设备,122.08,,1942.33,63.33,-2.94
BK1293,营销代理,-380.21,,1938.49,130.44,-3.45
BK1244,小家电,24.21,,1917.64,21.14,-0.37
BK1224,纺织制造,21.17,,1870.81,46.2,-0.58
BK1601,医院,43.62,,1865.16,45.55,0.28
BK1530,商用载货车,49.97,,1844.28,32.21,0.75
BK1586,软饮料,24.02,,1821.84,16.3,-0.07
BK1566,检测服务,44.93,,1821.12,42.76,-1.65
BK1397,磨具磨料,-19111.71,,1820.08,145.44,0.16
BK1437,改性塑料,57.86,,1819.63,71.43,-3.49
BK1221,数字媒体,-259.71,,1810.52,95.59,-2.36
BK1370,特钢Ⅲ,21.3,,1792.82,16.93,-0.97
BK1227,特钢Ⅱ,21.3,,1792.82,16.93,-0.97
BK1345,商业地产,-8.94,,1778.19,11.78,0.63
BK1316,光伏辅材,5207.46,,1743.13,53.52,-3.01
BK1540,其他家居用品,28.1,,1740.87,17.45,-0.94
BK1420,其他化学原料,37.96,,1726.99,47.07,-1.45
BK1314,风电整机,44.36,,1701.69,53.66,-3.27
BK1554,商业物业经营,-7.27,,1688.09,18.73,-0.65
BK1387,环保设备Ⅲ,86.69,,1678.37,56.1,-3.37
BK1234,环保设备Ⅱ,86.69,,1678.37,56.1,-3.37
BK1422,无机盐,87.5,,1675.74,54.09,-2.13
BK1222,影视院线,-48.65,,1645.95,47.14,-0.65
BK1488,跨境物流,14.26,,1636.9,9.78,0.32
BK1258,饲料,102.95,,1622.72,24.79,1.06
BK1241,黑色家电,33.32,,1615.27,42.12,-2.22
BK1267,造纸,-45.53,,1601.65,38.7,0.04
BK1281,休闲食品,22.82,,1589.58,21.73,0.78
BK1411,非金属材料Ⅲ,-495.6,,1587.71,80.49,-1.94
BK1020,非金属材料Ⅱ,-495.6,,1587.71,80.49,-1.94
BK1504,粮油加工,39.05,,1562.77,4.36,0.55
BK1228,冶钢原料,34.95,,1560.22,27.64,-1.08
BK1521,摩托车,29.77,,1549.59,28.64,2.22
BK1418,氯碱,54.46,,1512.13,51.2,-0.16
BK1395,机床工具,79.61,,1509.2,77.92,-3.22
BK1577,啤酒,17.17,,1491.6,9.96,-0.13
BK1573,油田服务,16.95,,1466.78,12.11,-0.63
BK1318,光伏主材,-8.95,,1460.37,18.82,-1.43
BK1018,橡胶,122.16,,1434.0,66.68,-2.44
BK1550,贸易Ⅲ,20.15,,1421.0,19.33,-1.41
BK0484,贸易Ⅱ,20.15,,1421.0,19.33,-1.41
BK1382,地面兵装Ⅲ,156.39,,1389.17,49.91,-3.24
BK1229,地面兵装Ⅱ,156.39,,1389.17,49.91,-3.24
BK1379,热力服务,47.77,,1319.99,41.88,-2.52
BK1431,有机硅,-62.52,,1299.98,71.56,1.75
BK1344,产业地产,-6.54,,1290.18,14.2,0.19
BK1480,机场,26.43,,1288.77,6.73,0.91
BK1440,其他塑料制品,65.68,,1277.36,42.46,-1.35
BK1375,光伏发电,-337.66,,1277.21,34.43,-1.68
BK1299,影视动漫制作,-47.35,,1275.06,31.59,-0.18
BK1261,种植业,47.35,,1274.09,25.04,-0.44
BK1535,纸包装,83.14,,1253.1,30.41,-1.63
BK1623,钼,29.22,,1249.35,26.92,-5.16
BK1272,旅游及景区,62.96,,1239.77,19.3,0.04
BK1427,民爆制品,40.39,,1223.06,27.36,-1.59
BK1252,化妆品,31.78,,1188.38,22.54,-0.17
BK1549,旅游零售Ⅲ,38.32,,1186.83,15.5,-0.64
BK1269,旅游零售Ⅱ,38.32,,1186.83,15.5,-0.64
BK1453,彩电,26.98,,1174.47,31.08,0.59
BK1570,其他石化,168.82,,1164.8,26.26,-0.07
BK1290,教育出版,12.12,,1164.09,7.47,1.87
BK1291,电视广播Ⅲ,-49.15,,1163.53,13.48,-1.52
BK1219,电视广播Ⅱ,-49.15,,1163.53,13.48,-1.52
BK1468,其他建材Ⅲ,38.82,,1162.46,22.71,-1.88
BK1551,百货,-43.1,,1149.51,17.26,-0.81
BK1268,互联网电商,46.28,,1145.71,28.15,-1.35
BK1289,大众出版,30.04,,1131.78,14.14,-0.34
BK1415,其他化学纤维,69.71,,1121.29,36.29,-5.11
BK1580,肉制品,26.82,,1102.85,15.02,2.22
BK1478,装修装饰Ⅲ,-84.18,,1089.39,24.15,-1.97
BK0725,装修装饰Ⅱ,-84.18,,1089.39,24.15,-1.97
BK1266,文娱用品,56.87,,1077.76,23.3,-1.35
BK0734,饰品,20.27,,1068.84,20.66,-1.29
BK1490,原材料供应链服务,-13.31,,1068.36,11.91,2.45
BK1616,白银,27.86,,1041.58,71.64,0.49
BK1294,门户网站,-91.72,,1037.03,51.72,-1.29
BK1537,成品家居,57.04,,1028.63,15.12,-0.88
BK1357,钟表珠宝,18.53,,1016.77,19.78,-1.07
BK1583,零食,17.92,,985.14,14.92,1.74
BK1319,硅料硅片,-7.67,,974.8,37.77,-0.56
BK1459,清洁小家电,23.93,,973.45,14.06,-3.08
BK1588,通信工程及服务,-55.22,,957.29,41.77,-2.87
BK1423,纺织化学制品,30.11,,944.96,26.38,-1.39
BK1430,涂料油墨,126.55,,937.29,39.6,-1.19
BK1460,照明设备Ⅲ,75.43,,924.3,20.16,-2.61
BK1245,照明设备Ⅱ,75.43,,924.3,20.16,-2.61
BK1498,品牌化妆品,27.94,,922.91,18.52,0.05
BK1509,水产饲料,24.21,,911.79,10.92,0.28
BK1622,镍,12.06,,887.5,30.13,0.24
BK1401,纺织服装设备,95.34,,886.1,24.13,-2.57
BK1432,氮肥,25.57,,881.08,21.91,0.82
BK1590,其他通信设备,99.21,,879.89,27.86,-1.84
BK1308,电工仪器仪表,38.65,,872.69,31.38,-2.06
BK1544,大宗用纸,-15.48,,870.84,17.73,-0.36
BK1372,冶钢辅料,31.76,,867.24,15.43,-0.56
BK1531,商用载客车,14.03,,843.49,10.68,-0.1
BK1402,楼宇设备,38.71,,842.8,16.53,-2.21
BK1306,蓄电池及其他电池,-4113.59,,834.13,32.58,-3.19
BK1597,血液制品,28.87,,806.78,9.99,1.86
BK1292,广告媒体,24.59,,799.5,12.86,0.26
BK1413,涤纶,49.52,,769.95,13.4,-0.35
BK1538,瓷砖地板,58.03,,765.68,18.98,-0.06
BK1457,厨房小家电,22.34,,756.01,4.95,0.82
BK1606,线下药店,17.82,,752.7,9.29,0.98
BK1539,定制家居,33.68,,748.33,11.47,-1.14
BK1433,复合肥,14.44,,738.76,12.89,1.43
BK1365,租赁,20.55,,733.31,9.67,1.16
BK1545,特种纸,34.69,,730.81,20.97,0.42
BK1388,大气治理,147.92,,730.46,6.75,-1.82
BK1476,化学工程,9.6,,710.54,11.9,-1.9
BK1543,娱乐用品,619.18,,701.45,18.21,-1.77
BK1421,钛白粉,149.48,,699.64,15.41,1.91
BK1251,个护用品,26.53,,696.24,7.75,0.02
BK1371,铁矿石,39.98,,692.98,12.21,-1.49
BK1391,综合环境治理,-22.53,,691.15,19.96,-1.67
BK1511,肉鸡养殖,32.06,,670.11,21.67,2.62
BK0740,教育,-157.07,,668.71,17.29,0.37
BK1363,信托,13.99,,666.17,3.49,0.43
BK1350,其他纺织,33.37,,660.92,16.49,-1.58
BK1505,其他农产品加工,45.63,,658.76,10.75,-0.6
BK1253,医疗美容,46.8,,657.97,6.12,-1.05
BK1553,多业态零售,23.26,,654.76,10.78,-0.29
BK1522,其他运输设备,20.03,,650.27,10.51,-1.22
BK1552,超市,-27.11,,646.22,13.57,-0.37
BK1581,预加工食品,23.16,,625.19,10.02,0.78
BK1572,油气及炼化工程,31.06,,624.09,8.7,-1.06
BK1461,玻璃制造,-36.31,,601.57,24.15,-4.47
BK1500,医美耗材,29.58,,598.8,5.94,-0.91
BK1563,自然景区,44.22,,584.45,10.16,0.51
BK1441,其他橡胶制品,661.57,,583.1,22.07,-2.26
BK1501,动物保健Ⅲ,41.76,,580.88,14.82,1.25
BK1254,动物保健Ⅱ,41.76,,580.88,14.82,1.25
BK1474,钢结构,54.77,,574.37,7.37,-0.92
BK1443,橡胶助剂,73.49,,572.83,35.01,-5.6
BK1578,其他酒类,56.47,,564.69,6.77,0.85
BK1532,金属包装,39.89,,555.0,16.93,-0.55
BK1412,氨纶,27.29,,551.83,11.93,6.41
BK1045,房地产服务,-8.37,,541.37,8.97,-0.74
BK1473,园林工程,-6.18,,538.4,25.46,-1.01
BK1406,印刷包装机械,49.09,,533.45,16.48,-2.94
BK1271,酒店餐饮,32.81,,532.02,7.0,0.33
BK1495,生活用纸,25.9,,519.02,6.54,-0.14
BK1579,保健品,746.9,,515.59,6.02,-0.32
BK1492,焦炭Ⅲ,-14.29,,499.51,6.12,1.51
BK1249,焦炭Ⅱ,-14.29,,499.51,6.12,1.51
BK1361,期货,23.61,,496.65,4.11,-0.93
BK1533,塑料包装,33.62,,496.47,12.93,-1.31
BK1557,培训教育,-112.78,,493.45,14.11,0.65
BK1475,国际工程,12.3,,493.34,8.99,-2.84
BK1547,跨境电商,43.85,,480.12,11.07,-0.82
