date,value
2025-09-24,5.61
2025-09-29,5.55
2025-10-04,5.61
2025-10-09,5.85
2025-10-14,6.29
2025-10-19,6.42
2025-10-24,7.02
2025-10-29,7.63
2025-11-03,7.37
2025-11-08,7.96
2025-11-13,7.55
2025-11-18,7.18
2025-11-23,6.83
2025-11-28,6.97
2025-12-03,6.91
2025-12-08,7.13
2025-12-13,7.16
2025-12-18,7.06
2025-12-23,7.37
2025-12-28,7.23
2026-01-02,7.07
2026-01-07,7.54
2026-01-12,7.73
2026-01-17,8.34
2026-01-22,9.01
2026-01-27,8.65
2026-02-01,8.41
2026-02-06,8.42
2026-02-11,9.81
2026-02-16,9.55
2026-02-21,9.55
2026-02-26,10.0
2026-03-03,9.63
2026-03-08,10.52
2026-03-13,9.06
2026-03-18,8.58
2026-03-23,7.58
2026-03-28,7.83
2026-04-02,7.73
2026-04-07,7.53
2026-04-12,8.04
2026-04-17,7.87
2026-04-22,8.05
2026-04-27,7.66
2026-05-02,7.03
2026-05-07,7.04
2026-05-12,7.36
2026-05-17,6.91
2026-05-22,6.59
2026-05-27,6.68
2026-06-01,6.24
2026-06-06,5.91
2026-06-11,5.25
2026-06-16,6.04
2026-06-21,6.15
2026-06-26,5.42
2026-07-01,5.33
2026-07-06,5.7
